Date,Open,High,Low,Close,Adj Close,Volume
2005-09-01,12.450000,12.540000,11.502500,50.099998,11.247094,266210400
2005-10-01,12.577500,14.245000,12.430000,56.560001,12.697323,280288200
2005-11-01,14.150000,16.000000,14.035000,30.450001,13.671622,232694200
2005-12-01,15.170000,16.230000,14.970000,30.010000,13.474069,181387400
2006-01-01,15.285000,16.160000,14.950000,31.700001,14.232854,167365600
2006-02-01,15.640000,18.434999,15.570000,36.320000,16.307169,248202600
2006-03-01,18.165001,19.055000,17.365000,37.630001,16.895340,225956600
2006-04-01,18.990000,19.750000,18.385000,37.270000,16.733709,196322200
2006-05-01,18.815001,19.940001,17.299999,35.650002,16.006348,335908200
2006-06-01,17.745001,19.010000,17.455000,37.759998,16.953705,254581400
2006-07-01,18.980000,19.165001,16.465000,34.230000,15.368786,310443000
2006-08-01,16.995001,16.995001,14.360000,31.010000,13.923052,529827200
2006-09-01,15.805000,17.520000,15.265000,34.049999,15.287973,318108400
2006-10-01,17.075001,19.750000,16.805000,37.750000,16.949219,369074600
2006-11-01,18.995001,20.004999,17.580000,35.290001,15.844716,329611600
2006-12-01,17.625000,18.570000,17.450001,35.419998,15.903084,209947800
2007-01-01,17.799999,18.305000,16.745001,34.939999,15.687572,323527400
2007-02-01,17.565001,17.709999,15.120000,30.900000,13.873664,389013200
2007-03-01,15.100000,16.225000,14.430000,31.360001,14.080200,555995600
2007-04-01,15.770000,16.150000,15.150000,31.020000,13.927542,353030400
2007-05-01,15.580000,15.950000,14.015000,28.809999,12.935285,649586200
2007-06-01,14.400000,14.575000,12.610000,26.240000,11.781392,698635800
2007-07-01,13.200000,14.250000,12.815000,26.680000,11.978944,659410600
2007-08-01,13.255000,14.300000,13.015000,27.549999,12.369561,553500800
2007-09-01,13.835000,14.095000,12.975000,26.200001,11.763432,380038600
2007-10-01,13.135000,13.460000,12.815000,26.680000,11.978944,406501200
2007-11-01,13.200000,13.340000,10.885000,23.389999,10.501781,822870400
2007-12-01,11.615000,11.715000,9.945000,20.469999,9.190740,462595000
2008-01-01,10.070000,10.505000,8.830000,18.910000,8.490324,942918800
2008-02-01,9.485000,9.675000,8.875000,17.980000,8.072766,503130400
2008-03-01,9.010000,9.250000,8.385000,17.500000,7.857253,594697400
2008-04-01,8.915000,9.445000,7.695000,16.230000,7.287042,671062600
2008-05-01,7.980000,9.205000,7.840000,18.190001,8.167054,631945400
2008-06-01,9.085000,9.280000,7.865000,15.740000,7.067038,510214200
2008-07-01,7.780000,8.025000,6.665000,14.690000,6.595604,691960600
2008-08-01,7.450000,8.590000,7.005000,15.560000,6.986221,518177000
2008-09-01,7.980000,8.410000,7.065000,14.870000,6.676421,553293600
2008-10-01,7.280000,7.530000,4.580000,13.130000,5.895186,774586000
2008-11-01,6.335000,6.575000,3.530000,8.930000,4.009445,657481200
2008-12-01,4.315000,5.185000,3.965000,9.460000,4.247408,463529600
2009-01-01,4.705000,5.180000,4.250000,9.440000,4.238426,459950800
2009-02-01,4.630000,5.385000,4.450000,9.150000,4.108222,487465600
2009-03-01,4.490000,6.215000,4.060000,11.110000,4.988233,574769000
2009-04-01,5.495000,7.720000,5.405000,14.460000,6.492337,656683400
2009-05-01,7.210000,7.250000,6.260000,14.390000,6.460908,555559800
2009-06-01,7.285000,7.700000,6.770000,13.890000,6.236415,521311000
2009-07-01,6.990000,8.950000,6.380000,17.700001,7.947052,673380800
2009-08-01,8.990000,9.925000,8.835000,18.990000,8.526242,493708000
2009-09-01,9.490000,10.470000,9.105000,20.650000,9.271559,498955800
2009-10-01,10.270000,10.555000,9.345000,18.980000,8.521753,424346200
2009-11-01,9.490000,11.050000,9.425000,21.900000,9.832790,436812000
2009-12-01,10.975000,11.975000,10.475000,23.059999,10.353618,394275400
2010-01-01,11.660000,12.225000,10.875000,21.790001,9.783403,407390000
2010-02-01,10.995000,11.730000,10.630000,22.910000,10.286267,302432200
2010-03-01,11.465000,13.000000,11.435000,24.270000,10.896891,412470400
2010-04-01,12.270000,13.795000,11.975000,25.980000,11.664656,399500000
2010-05-01,13.010000,13.965000,12.035000,25.889999,11.672400,474235000
2010-06-01,12.875000,14.250000,12.135000,24.299999,10.955554,433620000
2010-07-01,12.215000,13.220000,11.735000,24.850000,11.203522,395435600
2010-08-01,12.510000,12.860000,11.250000,22.980000,10.360437,330390800
2010-09-01,11.590000,13.285000,11.515000,25.549999,11.579690,301178400
